City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
370,Turukhansk,RU,65.8167,87.9833,-1.7,97,100,7.18,overcast clouds
371,Kampot,KH,10.6167,104.1833,87.85,73,61,5.21,broken clouds
372,Nagato,JP,34.3833,131.2,66.06,71,33,23.91,scattered clouds
373,Vardo,NO,70.3705,31.1107,30.18,86,0,14.97,clear sky
374,Salto De Agua,MX,17.6167,-92.3667,74.8,95,100,2.17,overcast clouds
375,Horki,BY,54.2861,30.9842,30.51,98,100,7.63,overcast clouds
376,Jumla,NP,29.2747,82.1838,64.49,21,0,6.17,clear sky
377,Dalby,AU,-27.1833,151.2667,81.88,46,99,7.47,overcast clouds
378,Gwanda,ZW,-20.9333,29.0,64.72,92,100,11.43,light rain
379,Vao,NC,-22.6667,167.4833,76.96,84,100,14.52,overcast clouds
380,Pombas,CV,17.1503,-25.0201,71.38,65,11,14.47,few clouds
381,Olinda,BR,-8.0089,-34.8553,78.53,73,75,4.61,broken clouds
382,Coxim,BR,-18.5067,-54.76,72.25,52,1,0.29,clear sky
383,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,73,75,10.36,broken clouds
384,Pozo Colorado,PY,-23.4923,-58.7972,71.82,78,0,4.68,clear sky
385,Siirt,TR,37.9326,41.9403,42.94,100,29,2.3,scattered clouds
386,Xining,CN,36.6167,101.7667,38.95,24,0,1.12,clear sky
387,Mogadishu,SO,2.0371,45.3438,85.87,74,40,11.5,scattered clouds
388,Vangaindrano,MG,-23.35,47.6,83.43,57,8,10.74,clear sky
389,Tsaratanana,MG,-16.7833,47.65,87.4,29,0,4.68,clear sky
390,Dormidontovka,RU,47.7702,134.9076,16.61,82,100,2.55,overcast clouds
391,Husavik,IS,66.0449,-17.3389,32.36,84,71,9.98,broken clouds
392,Rawlins,US,41.7911,-107.2387,28.35,64,0,20.71,clear sky
393,Touros,BR,-5.1989,-35.4608,77.29,80,100,9.62,overcast clouds
394,Simao,CN,22.7886,100.9748,78.15,41,23,6.2,few clouds
